subject,step,task,n_trials
9473,S05_speech_3,speech_discrim,0
9480,S00_Free Water,speech_discrim_stepped,0
9480,S01_reqrewards,speech_discrim_stepped,301
9480,S02_tonediscrim,speech_discrim_stepped,3658
9480,S03_speech_1,speech_discrim_stepped,10000
9480,S04_speech_2,speech_discrim_stepped,15746
9480,S05_speech_3,speech_discrim_stepped,560
9480,S06_speech_4,speech_discrim_stepped,0
9480,S07_speech_5,speech_discrim_stepped,0
9480,S08_speech_6,speech_discrim_stepped,0
9480,S09_speech_7,speech_discrim_stepped,0
9480,S10_speech_8,speech_discrim_stepped,0
9480,S11_speech_9,speech_discrim_stepped,0
9480,S12_speech_10,speech_discrim_stepped,0
9480,S13_speech_11,speech_discrim_stepped,0
9480,S14_speech_12,speech_discrim_stepped,0
9480,S15_speech_13,speech_discrim_stepped,0
9480,S16_speech_14,speech_discrim_stepped,0
9480,S17_speech_15,speech_discrim_stepped,0
9480,S18_speech_16,speech_discrim_stepped,0
9480,S19_speech_17,speech_discrim_stepped,0
9480,S20_speech_18,speech_discrim_stepped,0
9480,S21_speech_19,speech_discrim_stepped,0
9480,S22_speech_20,speech_discrim_stepped,0
9480,S23_speech_21,speech_discrim_stepped,0
9480,S24_speech_22,speech_discrim_stepped,0
9480,S25_speech_23,speech_discrim_stepped,0
9480,S26_speech_24,speech_discrim_stepped,0
9480,S27_speech_25,speech_discrim_stepped,0
9480,S28_speech_26,speech_discrim_stepped,0
9480,S29_speech_27,speech_discrim_stepped,0
9480,S00_Free Water,speech_discrim,212
9480,S01_reqrewards,speech_discrim,225
9480,S02_tonediscrim,speech_discrim,0
9480,S03_speech_1,speech_discrim,0
9480,S04_speech_2,speech_discrim,0
9480,S05_speech_3,speech_discrim,0
1008,S00_Free Water,gap_laser_PV,244
1008,S01_request_rewards,gap_laser_PV,111
1008,S02_long_gap,gap_laser_PV,0
1008,S03_gap_128,gap_laser_PV,0
1008,S04_gap_64,gap_laser_PV,0
1008,S05_gap_all,gap_laser_PV,0
1008,S06_2AFC_Gap_Laser,gap_laser_PV,0
148,S00_Free Water,gap_laser_PV,201
148,S01_request_rewards,gap_laser_PV,301
148,S02_long_gap,gap_laser_PV,2208
148,S03_gap_128,gap_laser_PV,502
148,S04_gap_64,gap_laser_PV,1477
148,S05_gap_all,gap_laser_PV,2751
148,S06_2AFC_Gap_Laser,gap_laser_PV,42866
9517,S00_Free Water,speech_discrim_stepped,0
9517,S01_reqrewards,speech_discrim_stepped,126
9517,S02_tonediscrim,speech_discrim_stepped,2169
9517,S03_speech_1,speech_discrim_stepped,0
9517,S04_speech_2,speech_discrim_stepped,0
9517,S05_speech_3,speech_discrim_stepped,0
9517,S06_speech_4,speech_discrim_stepped,0
9517,S07_speech_5,speech_discrim_stepped,0
9517,S08_speech_6,speech_discrim_stepped,0
9517,S09_speech_7,speech_discrim_stepped,0
9517,S10_speech_8,speech_discrim_stepped,0
9517,S11_speech_9,speech_discrim_stepped,0
9517,S12_speech_10,speech_discrim_stepped,0
9517,S13_speech_11,speech_discrim_stepped,0
9517,S14_speech_12,speech_discrim_stepped,0
9517,S15_speech_13,speech_discrim_stepped,0
9517,S16_speech_14,speech_discrim_stepped,0
9517,S17_speech_15,speech_discrim_stepped,0
9517,S18_speech_16,speech_discrim_stepped,0
9517,S19_speech_17,speech_discrim_stepped,0
9517,S20_speech_18,speech_discrim_stepped,0
9517,S21_speech_19,speech_discrim_stepped,0
9517,S22_speech_20,speech_discrim_stepped,0
9517,S23_speech_21,speech_discrim_stepped,0
9517,S24_speech_22,speech_discrim_stepped,0
9517,S25_speech_23,speech_discrim_stepped,0
9517,S26_speech_24,speech_discrim_stepped,0
9517,S27_speech_25,speech_discrim_stepped,0
9517,S28_speech_26,speech_discrim_stepped,0
9517,S29_speech_27,speech_discrim_stepped,0
9517,S00_Free Water,speech_discrim,314
9517,S01_reqrewards,speech_discrim,166
9517,S02_tonediscrim,speech_discrim,0
9517,S03_speech_1,speech_discrim,3
9517,S04_speech_2,speech_discrim,0
9517,S05_speech_3,speech_discrim,0
9523,S00_Free Water,speech_discrim_stepped,85
9523,S01_reqrewards,speech_discrim_stepped,301
9523,S02_tonediscrim,speech_discrim_stepped,3720
9523,S03_speech_1,speech_discrim_stepped,7335
9523,S04_speech_2,speech_discrim_stepped,5741
9523,S05_speech_3,speech_discrim_stepped,6857
9523,S06_speech_4,speech_discrim_stepped,17435
9523,S07_speech_5,speech_discrim_stepped,12098
9523,S08_speech_6,speech_discrim_stepped,0
9523,S09_speech_7,speech_discrim_stepped,0
9523,S10_speech_8,speech_discrim_stepped,0
9523,S11_speech_9,speech_discrim_stepped,0
9523,S12_speech_10,speech_discrim_stepped,0
9523,S13_speech_11,speech_discrim_stepped,0
9523,S14_speech_12,speech_discrim_stepped,0
9523,S15_speech_13,speech_discrim_stepped,0
9523,S16_speech_14,speech_discrim_stepped,0
9523,S17_speech_15,speech_discrim_stepped,0
9523,S18_speech_16,speech_discrim_stepped,0
9523,S19_speech_17,speech_discrim_stepped,0
9523,S20_speech_18,speech_discrim_stepped,0
9523,S21_speech_19,speech_discrim_stepped,0
9523,S22_speech_20,speech_discrim_stepped,0
9523,S23_speech_21,speech_discrim_stepped,0
9523,S24_speech_22,speech_discrim_stepped,0
9523,S25_speech_23,speech_discrim_stepped,0
9523,S26_speech_24,speech_discrim_stepped,0
9523,S27_speech_25,speech_discrim_stepped,0
